model,roc_auc_bootstrap_median,ci95_low,ci95_high,n_bootstrap
logisticregression,0.9835256563685371,0.9777650383433666,0.9887977623614228,2000
decisiontree,0.9519077616634848,0.9418568214617951,0.9621212236561661,2000
randomforest,0.9950851210789935,0.9925944059269877,0.9969971848794718,2000
extratrees,0.9940855220566893,0.9913744116816595,0.9963050263963104,2000
svm_rbf,0.9914151271058735,0.9872994185150139,0.9944880266750303,2000
race_phish,0.9882023397715386,0.9834768269205829,0.9921631176244908,2000
race_phish_adaptive,0.9771140700268914,0.9694332399285202,0.983669759533677,2000
