model,roc_auc,pr_auc
logisticregression,0.9835252262323442,0.982918939547885
decisiontree,0.9520437749725965,0.9315570678743821
randomforest,0.9950571598762964,0.9950815700094191
extratrees,0.9940725357878217,0.9944836886959625
svm_rbf,0.9913002205884351,0.9900665838477511
race_phish,0.9881858709163259,0.9859739971348723
race_phish_adaptive,0.9771680089649751,0.9760811337747572
