threshold,precision,recall,specificity,f1,fpr,fnr
0.05,0.7571174377224199,0.9929988331388565,0.6818181818181818,0.8591620393740536,0.3181818181818182,0.007001166861143524
0.1,0.8336614173228346,0.9883313885647608,0.803030303030303,0.9044313934863855,0.19696969696969696,0.011668611435239206
0.15000000000000002,0.8734439834024896,0.9824970828471412,0.8578088578088578,0.9247666117517848,0.14219114219114218,0.01750291715285881
0.2,0.895187165775401,0.9766627771295215,0.8857808857808858,0.9341517857142857,0.11421911421911422,0.023337222870478413
0.25,0.9134720700985761,0.9731621936989499,0.9079254079254079,0.9423728813559322,0.09207459207459208,0.026837806301050177
0.3,0.923162583518931,0.9673278879813302,0.9195804195804196,0.9447293447293448,0.08041958041958042,0.03267211201866978
0.35000000000000003,0.9323562570462233,0.9649941656942824,0.9300699300699301,0.948394495412844,0.06993006993006994,0.03500583430571762
0.4,0.9404352806414662,0.9579929988331388,0.9393939393939394,0.9491329479768786,0.06060606060606061,0.042007001166861145
0.45,0.9490150637311703,0.9556592765460911,0.9487179487179487,0.9523255813953488,0.05128205128205128,0.044340723453908985
0.5,0.9533255542590432,0.9533255542590432,0.9533799533799534,0.9533255542590432,0.046620046620046623,0.046674445740956826
0.55,0.96,0.9521586931155193,0.9603729603729604,0.9560632688927944,0.039627039627039624,0.047841306884480746
0.6000000000000001,0.9700956937799043,0.9463243873978997,0.9708624708624709,0.9580626107501476,0.029137529137529136,0.05367561260210035
0.6500000000000001,0.9769696969696969,0.94049008168028,0.9778554778554779,0.9583828775267539,0.022144522144522144,0.059509918319719954
0.7000000000000001,0.980319803198032,0.9299883313885647,0.9813519813519813,0.9544910179640719,0.018648018648018648,0.07001166861143523
0.7500000000000001,0.98125,0.9159859976662778,0.9825174825174825,0.9474954737477369,0.017482517482517484,0.08401400233372229
0.8,0.9846743295019157,0.8996499416569428,0.986013986013986,0.9402439024390243,0.013986013986013986,0.10035005834305717
0.8500000000000001,0.9881266490765171,0.8739789964994166,0.9895104895104895,0.9275541795665635,0.01048951048951049,0.12602100350058343
0.9000000000000001,0.9902777777777778,0.8319719953325554,0.9918414918414918,0.9042485732403297,0.008158508158508158,0.16802800466744458
0.9500000000000001,0.9936305732484076,0.7281213535589265,0.9953379953379954,0.8404040404040404,0.004662004662004662,0.2718786464410735
