view,epoch,train_loss,val_loss
lexical,1,0.4889719070363269,0.4767276943871281
lexical,2,0.44320079521856665,0.4297198842175989
lexical,3,0.4292338272997297,0.41666664276356496
lexical,4,0.42141397636544736,0.40912215234140725
lexical,5,0.41559612454829925,0.40377631030936173
lexical,6,0.41101550979177387,0.39939153050465565
lexical,7,0.40720598379512457,0.39594537796057716
lexical,8,0.4038604774848933,0.39269728451662006
lexical,9,0.40098488059256876,0.3902415213024357
lexical,10,0.39836387630217723,0.3878040857945824
lexical,11,0.39588942253348464,0.3856325983693086
lexical,12,0.3935988752887545,0.3835595427444678
lexical,13,0.3913729541907321,0.38159498455765356
lexical,14,0.38917758977750533,0.3797051144814154
lexical,15,0.3870609254317837,0.37790301901405854
lexical,16,0.38500369420827574,0.3761111302340621
lexical,17,0.3830463746429648,0.3744718378670089
lexical,18,0.38116349381894166,0.3728977347826038
lexical,19,0.37942418642904785,0.37136996163231173
lexical,20,0.3778420490478844,0.36987471226651697
lexical,21,0.3763183083262196,0.3687346198099195
lexical,22,0.3749200529891577,0.36766970242607355
lexical,23,0.37363314276852394,0.36669417211959765
lexical,24,0.37236857056954253,0.36565899941840285
lexical,25,0.3712213601395349,0.3648064004913146
lexical,26,0.3701210192012413,0.3640950728618291
lexical,27,0.36908843224783777,0.3633473893492807
lexical,28,0.36810295076111665,0.36266467070344327
lexical,29,0.36712364406597203,0.36188480540729295
lexical,30,0.3662111380772126,0.3612928904697961
lexical,31,0.3653845481952089,0.36067135646652704
lexical,32,0.3645647064878824,0.36003853063282387
lexical,33,0.3637915792753458,0.3593373914878632
lexical,34,0.3630596751335878,0.3587905121199204
lexical,35,0.36232820019763934,0.3578393846632844
lexical,36,0.3616709009860134,0.35772885903333645
lexical,37,0.3610524021664382,0.357205154193538
lexical,38,0.36043665078606996,0.35662456088514066
lexical,39,0.3598653609663432,0.3561783659803654
lexical,40,0.3592993031820976,0.356033610518845
lexical,41,0.3587366261327928,0.3555996444296008
lexical,42,0.3582382419040596,0.35517601917047964
lexical,43,0.3577615275951205,0.3550377488723034
lexical,44,0.3572825446119737,0.35472924680331885
lexical,45,0.356802369686191,0.354681307355092
lexical,46,0.3563977301413313,0.3544595952451203
lexical,47,0.35596182127642206,0.3543201756316915
lexical,48,0.3555824044476873,0.35407376859016176
lexical,49,0.3551950325629182,0.35410920396162554
lexical,50,0.35484327295925405,0.3538741231780758
lexical,51,0.35444902359715874,0.353551505366219
lexical,52,0.3541156268321638,0.35356107732528425
lexical,53,0.3537105516973852,0.3534449786866254
lexical,54,0.3533414849290458,0.35346163755959603
lexical,55,0.3529763414969921,0.35342677954617896
lexical,56,0.3526162976842337,0.3534584397918111
lexical,57,0.35220755611363674,0.3533504620391029
lexical,58,0.35185685593846217,0.35336155029354877
lexical,59,0.3514726821934145,0.35326149133656876
lexical,60,0.35116849737609607,0.3532424272093701
lexical,61,0.3508212737877665,0.3531354283644427
lexical,62,0.3505488591830507,0.35318014313804047
lexical,63,0.35023669846354183,0.35312819588293765
lexical,64,0.34994212157601035,0.3532279217626279
lexical,65,0.3496350846552511,0.35298966971713025
lexical,66,0.3493670266560999,0.3532318216095208
lexical,67,0.34907873581616056,0.35306719091148314
lexical,68,0.34884769103171215,0.35318950420387984
lexical,69,0.34858438906400885,0.35317826368067873
lexical,70,0.348368331996642,0.35305052939883547
lexical,71,0.3481073282008661,0.35322732981143873
lexical,72,0.3478960358963886,0.353232868828271
lexical,73,0.34763193726634345,0.35298930607309065
lexical,74,0.34740758151679657,0.35315701250076476
lexical,75,0.34713436628182404,0.352648680180494
lexical,76,0.3468812107679147,0.35267029418846285
lexical,77,0.34662251209155953,0.3524641784488064
lexical,78,0.3464042848452517,0.35222246589488426
lexical,79,0.34610938112625933,0.3517421662897869
lexical,80,0.3458933983265199,0.3515682163929265
lexical,81,0.34570084338550566,0.3512382919368493
lexical,82,0.34550967089477,0.35091737105779475
lexical,83,0.3453283808845138,0.35070839345949134
lexical,84,0.34513046460733754,0.3507242219374763
lexical,85,0.34494727516024826,0.35050470467219236
lexical,86,0.3447785952017492,0.35051082509965537
lexical,87,0.34458838380409407,0.350670708330123
lexical,88,0.3444257015799243,0.35048164904599016
lexical,89,0.344292315803301,0.35049260307022895
lexical,90,0.3441089300690435,0.3504960880649282
lexical,91,0.3439732382966653,0.35038840242899383
lexical,92,0.3438233521002877,0.35028779284888634
lexical,93,0.3435817713248392,0.35007881021178494
lexical,94,0.34343624648483223,0.3501213783691807
lexical,95,0.3432360100388275,0.35021711908273023
lexical,96,0.34306263505755646,0.3506236798022317
lexical,97,0.3429008314933221,0.3505577715874785
lexical,98,0.3427483083252987,0.3503292860469784
lexical,99,0.3426390625217842,0.35043949469268626
lexical,100,0.34253878278822386,0.35000760468570147
