perturbation,n,mean_abs_probability_shift,prediction_flip_rate
add_query,300,0.024024215936754516,0.01
hyphen,300,0.022230825042316354,0.013333333333333334
path_padding,300,0.04435294512111676,0.02
case,300,0.015818779211400454,0.006666666666666667
